Scale,Subscale,Age,Rater,N
ASQ,Langu,6mo,Mother,88820
ASQ,Motor,6mo,Mother,88830
ICQ,Fussi,6mo,Mother,88853
ASQ,Langu,18mo,Mother,72449
ASQ,Motor,18mo,Mother,72466
CBCL,Exter,18mo,Mother,75845
CBCL,Inter,18mo,Mother,75650
EAS,Activ,18mo,Mother,75480
EAS,Emoti,18mo,Mother,75489
EAS,Shyne,18mo,Mother,75469
EAS,Socia,18mo,Mother,75471
ASQ,Langu,3yr,Mother,56271
ASQ,Motor,3yr,Mother,56203
CBCL,Exter,3yr,Mother,53367
CBCL,Inter,3yr,Mother,53232
CFQ,Press,3yr,Mother,57339
CFQ,Restr,3yr,Mother,57324
EAS,Activ,3yr,Mother,53220
EAS,Emoti,3yr,Mother,53229
EAS,Shyne,3yr,Mother,53211
EAS,Socia,3yr,Mother,53214
ITSEA,Compe,3yr,Mother,58464
ITSEA,Dysre,3yr,Mother,58092
ITSEA,Exter,3yr,Mother,58114
ITSEA,Inter,3yr,Mother,58094
SCQ,Restr,3yr,Mother,58309
SCQ,Socia,3yr,Mother,58352
SDQ,Proso,3yr,Mother,58354
ASQ,Langu,5yr,Mother,39523
ASQ,Motor,5yr,Mother,39518
CAST,Full,5yr,Mother,14711
CBCL,Exter,5yr,Mother,37291
CBCL,Inter,5yr,Mother,37209
CCC,Coher,5yr,Mother,41298
CPRSRS,Full,5yr,Mother,41249
EAS,Activ,5yr,Mother,37185
EAS,Emoti,5yr,Mother,37191
EAS,Shyne,5yr,Mother,37175
EAS,Socia,5yr,Mother,37181
SLAS,Full,5yr,Mother,10621
SPRAK,Expre,5yr,Mother,34855
SPRAK,Recep,5yr,Mother,34858
SPRAK,Seman,5yr,Mother,34878
CCC,Coher,8yr,Mother,29099
CEBQ,Full,8yr,Mother,43152
NHPIC,Benev,8yr,Mother,43256
NHPIC,Consc,8yr,Mother,43258
RSDBD,Adhd,8yr,Mother,43285
RSDBD,Condu,8yr,Mother,43358
RSDBD,Hyper,8yr,Mother,43273
RSDBD,Inatt,8yr,Mother,43282
RSDBD,Odd,8yr,Mother,43266
SCARED,Full,8yr,Mother,43301
SCQ,Restr,8yr,Mother,35954
SCQ,Socia,8yr,Mother,35981
SMFQ,Full,8yr,Mother,43237
SPIN,Full,8yr,Mother,42266
SPRAK,Seman,8yr,Mother,24119
CAPE,Full,14yr,Child,21897
PEQ,Paren,14yr,Child,21959
SB,Schoo,14yr,Child,20077
SCL,Anxie,14yr,Child,20093
SCL,Depre,14yr,Child,20087
SDQ,Proso,14yr,Child,15923
SDQ,Proso,14yr,Mother,12947
SMFQ,Full,14yr,Child,16171
SMFQ,Full,14yr,Mother,13705
SPIN,Full,14yr,Child,15764
SPPA,Socia,14yr,Child,21980
SWLS,Full,14yr,Child,21960
YPTI,Full,14yr,Child,21812