,6mo,18mo,3yr,5yr,8yr,C14yr,M14yr
N,62122,50813,41340,29551,31081,9661,6327
Males,31642,25879,21010,15023,15787,4709,3137
Females,30480,24934,20330,14528,15294,4952,3190
Males %,0.51,0.51,0.51,0.51,0.51,0.49,0.5
Females %,0.49,0.49,0.49,0.49,0.49,0.51,0.5
Child Age (mean),0.54,1.54,3.05,5.21,8.13,14.38,14.35
Child Age (sd),0.06,0.05,0.06,0.29,0.16,0.5,0.49
Mothers Age (mean),31.29,32.38,33.94,36.33,39.27,45.78,45.86
Mothers Age (sd),4.46,4.4,4.38,4.34,4.33,4.26,4.21
Fathers Age (mean),33.76,34.83,36.37,38.7,41.64,48.03,48.08
Fathers Age (sd),5.16,5.11,5.11,5.1,5.1,5.03,5.04